CODE	Malzeme
1	5003243314005
2	5003165485005
3	5003216491004
4	5003279068001
5	5003251819001
6	5003252156006
7	5003252212003
8	5003252245003
9	5003182838003
10	5003143262002
11	5003143251002
12	5003143251004
13	5003143244003
14	5003267720002
15	5003267692002
16	5003146882003
17	5003146891005
18	5002698992003
19	5002698917004
20	5002958619002
21	5002958619002
22	5002958614002
23	5002958614002
24	5003095829002
25	5003095865002
26	5003095872003
27	5003227252005
28	5003227252001
29	5003227252003
30	5003227135001
31	5003227135004
32	5003227135003
33	5002990354002
34	5002990361005
35	5002527040002
36	5002527040003
37	5002527040005
38	5002527040006
39	5002527040007
40	5002527041002
41	5002527041004
42	5002527041005
43	5002527041006
44	5002370135005
45	5002370135006
46	5003241624003
47	5003241624004
48	5003241624005
49	5003241624007
50	5003111275003
51	5003111275005
52	5003111275006
53	5003111275007
54	5003111275010
55	5003111252004
56	5003111252005
57	5003111252007
58	5003111252008
59	5003241597003
60	5003241597004
61	5003241597005
62	5003241597007
63	5003241431002
64	5003241431003
65	5003241431004
66	5003241431005
67	5003241431006
68	5003241431007
69	5002821981003
70	5002821981004
71	5002821981005
72	5002821972003
73	5002821972004
74	5002821972005
75	5002821972007
76	5002942439001
77	5003138614001
78	5003054485001
79	5003135024006
80	5003123545004
81	5003259913004
82	5003209889001
83	5003257409001
84	5003257482001
85	5002617134005
