Model	Stok Tanımı	Stok Kodu	Barkod
5SKG10040AK	5SKG10040AK Koton T-Shirt, 11-12 Yaş, Ekru	5003236989001	8684290516759
5SKG10040AK	5SKG10040AK Koton T-Shirt, 4-5 Yaş, Ekru	5003236989002	8684290516766
5SKG10040AK	5SKG10040AK Koton T-Shirt, 5-6 Yaş, Ekru	5003236989003	8684290516773
5SKG10040AK	5SKG10040AK Koton T-Shirt, 6-7 Yaş, Ekru	5003236989004	8684290516780
5SKG10040AK	5SKG10040AK Koton T-Shirt, 7-8 Yaş, Ekru	5003236989005	8684290516797
5SKG10040AK	5SKG10040AK Koton T-Shirt, 9-10 Yaş, Ekru	5003236989006	8684290516803
5SKG10075AK	5SKG10075AK Koton T-Shirt, 11-12 Yaş, Ekru	5003237018001	8684290517657
5SKG10075AK	5SKG10075AK Koton T-Shirt, 5-6 Yaş, Ekru	5003237018003	8684290517671
5SKG10075AK	5SKG10075AK Koton T-Shirt, 6-7 Yaş, Ekru	5003237018004	8684290517688
5SKG10075AK	5SKG10075AK Koton T-Shirt, 7-8 Yaş, Ekru	5003237018005	8684290517695
5SKG10075AK	5SKG10075AK Koton T-Shirt, 9-10 Yaş, Ekru	5003237018006	8684290517701
5SKG10076AK	5SKG10076AK Koton T-Shirt, 11-12 Yaş, Ekru	5003237040001	8684290517718
5SKG10076AK	5SKG10076AK Koton T-Shirt, 4-5 Yaş, Ekru	5003237040002	8684290517725
5SKG10076AK	5SKG10076AK Koton T-Shirt, 6-7 Yaş, Ekru	5003237040004	8684290517749
5SKG10076AK	5SKG10076AK Koton T-Shirt, 7-8 Yaş, Ekru	5003237040005	8684290517756
5SKG10076AK	5SKG10076AK Koton T-Shirt, 9-10 Yaş, Ekru	5003237040006	8684290517763
5SKG10120AK	5SKG10120AK Koton T-Shirt, 11-12 Yaş, Ekru	5003237026001	8684290518494
5SKG10120AK	5SKG10120AK Koton T-Shirt, 4-5 Yaş, Ekru	5003237026002	8684290518500
5SKG10120AK	5SKG10120AK Koton T-Shirt, 5-6 Yaş, Ekru	5003237026003	8684290518517
5SKG10120AK	5SKG10120AK Koton T-Shirt, 6-7 Yaş, Ekru	5003237026004	8684290518524
5SKG10120AK	5SKG10120AK Koton T-Shirt, 7-8 Yaş, Ekru	5003237026005	8684290518531
5SKG10120AK	5SKG10120AK Koton T-Shirt, 9-10 Yaş, Ekru	5003237026006	8684290518548
5SKG40014AK	5SKG40014AK Koton Şort, 11-12 Yaş, Beyaz	5003236885001	8684290521081
5SKG40014AK	5SKG40014AK Koton Şort, 7-8 Yaş, Beyaz	5003236885005	8684290521128
5SKG60029AK	5SKG60029AK Koton Tulum, 11-12 Yaş, Fuşya	5003237106001	8684290524013
5SKG60029AK	5SKG60029AK Koton Tulum, 13-14 Yaş, Fuşya	5003237106002	8684290524020
5SKG60029AK	5SKG60029AK Koton Tulum, 7-8 Yaş, Fuşya	5003237106005	8684290524051
5SKG60029AK	5SKG60029AK Koton Tulum, 9-10 Yaş, Fuşya	5003237106006	8684290524068
5SKG80006AK	5SKG80006AK Koton Elbise, 11-12 Yaş, Turuncu	5003237130001	8684290525690
5SKG80006AK	5SKG80006AK Koton Elbise, 13-14 Yaş, Turuncu	5003237130002	8684290525706
5SKG80006AK	5SKG80006AK Koton Elbise, 5-6 Yaş, Turuncu	5003237130003	8684290525720
5SKG80006AK	5SKG80006AK Koton Elbise, 6-7 Yaş, Turuncu	5003237130004	8684290525737
5SKG80006AK	5SKG80006AK Koton Elbise, 7-8 Yaş, Turuncu	5003237130005	8684290525744
5SKG80006AK	5SKG80006AK Koton Elbise, 9-10 Yaş, Turuncu	5003237130006	8684290525751
5SKG80011AK	5SKG80011AK Koton Elbise, 11-12 Yaş, Mavi	5003237150001	8684290526246
5SKG80011AK	5SKG80011AK Koton Elbise, 4-5 Yaş, Mavi	5003237150007	8684290526260
5SKG80011AK	5SKG80011AK Koton Elbise, 7-8 Yaş, Mavi	5003237150005	8684290526291
5SKG80011AK	5SKG80011AK Koton Elbise, 9-10 Yaş, Mavi	5003237150006	8684290526307
