Stok Kodu	Barkod	Stok Tanımı	Alan Adı	Lokasyon	Say.Adet
5000415838001	4009839308413	ZWILLING QUADRO 5 Zwilling Tencere Seti, BEDENSIZ, Renksiz	ALT KAT HOME DEPO	DP-0001	3
5002757575001	4009839424199	FOCUS 5LI TENCERE SETİ Zwilling Tencere Seti, Bedensiz, Renksiz	ALT KAT HOME DEPO	DP-0001	3
5003228782001	4009839521263	Zwilling Flow Tencere Seti Zwilling Tencere Seti, Bedensiz, Renksiz	ALT KAT HOME DEPO	DP-0001	4
5003115134001	4009839531262	Zwilling PRO Tencere Seti 5 parça Zwilling Tencer, Bedensiz, Gri - Met	ALT KAT HOME DEPO	DP-0001	1
5002518495001	8710103896609	XB9125/07 Philips Torbasız Süpü, Bedensiz, Renksiz	ALT KAT HOME DEPO	DP-0001	2
5002518497001	8710103904151	XB9155/07 Philips Torbasız Süpü, Bedensiz, Renksiz	ALT KAT HOME DEPO	DP-0001	2
5003046953001	8720389013621	HR3770/00 Philips Blender, Bedensiz, Renksiz	ALT KAT HOME DEPO	DP-0001	2
5003218035001	8720389032639	HR3030/00 Philips Blender, Bedensiz, Renksiz	ALT KAT HOME DEPO	DP-0001	2
5003249943001	8720389039362	AC0951/13 Philips Hava Temizlem, Bedensiz, Renksiz	ALT KAT HOME DEPO	DP-0001	1
5000415838001	4009839308413	ZWILLING QUADRO 5 Zwilling Tencere Seti, BEDENSIZ, Renksiz	ALT KAT HOME DEPO	DP-0002	1
5003102391001	4009839329326	Zwilling Passion 5 Parça Tencere Se Zwilling Tencere Seti, Bedensiz, R	ALT KAT HOME DEPO	DP-0002	2
5003115134001	4009839531262	Zwilling PRO Tencere Seti 5 parça Zwilling Tencer, Bedensiz, Gri - Met	ALT KAT HOME DEPO	DP-0002	1
5003260043001	8680887365984	Soft Touch Halı 80x150 cm Açık Gri English Home Halı, 80 X 150 cm, Açı	ALT KAT HOME DEPO	DP-0002	2
5003260036001	8680887366011	Soft Touch Halı 80x150 cm Antrasit English Home Halı, 80 X 150 cm, Ant	ALT KAT HOME DEPO	DP-0002	2
5003260042001	8680887366097	Soft Touch Halı 120 cm Bej English Home Halı, 120 X 120 cm, Bej	ALT KAT HOME DEPO	DP-0002	3
5002856602001	8681734440304	SCARLET KÃ?RE 7P TEN SE Taşev Tencere Seti, Bedensiz, Siyah	ALT KAT HOME DEPO	DP-0002	1
5002786224001	8682328783715	S500B Robogil Robot Süpürge, Bedensiz, Renksiz	ALT KAT HOME DEPO	DP-0002	1
5002924193001	8682511902893	Inovator X Fakir Dikey Süpürge, Bedensiz, Renksiz	ALT KAT HOME DEPO	DP-0002	3
5003081956001	8682511904705	41005023 Fakir Robot Süpürge, Bedensiz, Siyah	ALT KAT HOME DEPO	DP-0002	2
5003081957001	8682511904712	41005024 Fakir Robot Süpürge, Bedensiz, Beyaz	ALT KAT HOME DEPO	DP-0002	1
5003273542001	8682511906075	INOVATOR 6158 PURPLE Fakir Dikey Süpürge, Bedensiz, Renksiz	ALT KAT HOME DEPO	DP-0002	2
5003033232001	8699131794715	JEWEL ÇELİK ÇEYİZ SETİ 18P INOX Schafer Tencere Seti, Bedensiz, Renksi	ALT KAT HOME DEPO	DP-0002	4
5003116753001	8699131798188	Gravita Seramik Tencere Seti Siyah Schafer Tencere Seti, Bedensiz, Ren	ALT KAT HOME DEPO	DP-0002	2
5003269028001	8699131801710	New Stahl Çelik Tencere Seti Schafer Tencere Seti, Bedensiz, Metalik	ALT KAT HOME DEPO	DP-0002	1
